wtcepearly,wtanaearly,r19cepearly,r19anaearly,wtceplate,wtanalate,r19ceplate,r19analate
0.34,0.51,0.34,0.51,0.9,1.07,1.37,1.27
0.34,0.51,0.34,0.51,0.85,1.2,1.66,1.18
0.34,0.48,0.39,0.51,0.94,1.07,1.57,1.12
0.34,0.51,0.34,0.51,0.83,1.12,1.3,1.2
0.34,0.53,0.34,0.51,0.83,1.18,1.5,1.18
0.34,0.51,0.34,0.34,0.83,1.21,1.41,1.18
0.34,0.51,0.34,0.51,0.74,1.21,1.51,1.18
0.34,0.51,0.34,0.51,0.94,1.18,1.49,1.12
0.34,0.51,0.37,0.51,0.74,1.18,1.66,1.18
0.34,0.51,0.34,0.51,0.94,1,1.65,1.2
0.37,0.51,0.34,0.51,0.85,1.2,1.42,1.21
0.34,0.51,0.34,0.34,0.85,1.21,1.49,1.18
0.34,0.51,0.34,0.34,0.9,1.21,1.43,1.21
0.37,0.51,0.34,0.51,0.83,1.07,1.37,1.18
0.34,0.53,0.37,0.51,0.83,1.2,1.53,1.18
0.34,0.51,0.33,0.51,0.83,1.16,1.37,1.12
0.34,0.51,0.34,0.51,0.85,1.16,1.42,1.18
0.34,0.51,0.34,0.51,0.6,1.2,1.53,1.2
0.34,0.51,0.34,0.51,0.67,1.18,1.34,1.2
0.34,0.48,0.34,0.51,0.74,1.2,1.37,1.2
0.34,0.51,0.34,0.51,0.74,1.2,1.34,1.18
0.34,0.51,0.34,0.51,0.83,1.2,1.42,1.2
0.37,0.51,0.34,0.51,0.83,1.12,1.49,1.21
0.34,0.51,0.34,0.51,0.83,1.2,1.43,1.2
0.34,0.34,0.34,0.51,0.7,1,1.3,1.12
0.34,0.51,0.34,0.51,0.67,1.12,1.34,1.18
0.34,0.51,0.34,0.51,0.69,1.21,1.43,1.12
0.34,0.51,0.34,0.51,0.71,1.12,1.33,1.18
0.34,0.51,0.34,0.51,0.83,1.16,1.66,1.27
,,0.34,0.51,0.83,1.2,1.2,1.2
,,0.34,0.51,0.83,1.18,1.3,1.2
,,,,0.83,1.18,1.42,1.21
,,,,0.8,1.18,1.43,1.18
,,,,0.83,1.16,1.34,1.3
,,,,0.83,1.21,1.43,1.21
,,,,0.83,1.12,1.43,1.12
,,,,0.85,1.21,1.53,1.27
,,,,0.83,1.2,1.43,1.18
,,,,0.97,1.1,1.41,1.3
,,,,0.83,1.16,1.5,1.21
,,,,0.83,1.21,1.3,1.2
,,,,0.9,1.27,1.47,1.2
,,,,0.9,1.18,1.16,1.3
,,,,0.83,1.18,1.3,1.12
,,,,0.9,1.2,1.5,1.2
,,,,0.94,1.3,1.5,1.2
,,,,0.83,1.2,1.49,1.2
,,,,0.9,1.27,1.3,1.18
,,,,0.83,1.21,1.42,1.27
,,,,0.85,1.16,1.49,1.27
,,,,0.83,1.3,1.34,1.2
,,,,0.74,1.21,1.42,1.18
,,,,0.83,1.21,1.51,1.16
,,,,0.83,1.21,1.53,1.18
,,,,0.94,1.3,1.43,1.18
,,,,0.74,1.12,1.33,1.18
,,,,0.74,1.2,1.34,1.12
,,,,0.85,1.18,1.51,1.18
,,,,0.83,1.18,1.53,1.33
,,,,0.85,1.21,1.5,1.16
,,,,0.83,1.2,1.67,1.18
,,,,0.83,1.27,1.34,1.16
,,,,0.85,1.27,1.57,1.2
,,,,0.83,1.18,1.5,1.16
,,,,0.83,1.2,1.49,1.27
,,,,0.83,1.18,1.53,1.2
,,,,0.83,1.3,1.5,1.16
,,,,,,1.43,1.12
,,,,,,1.51,1.16